Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 328			94.227398																											-0.000862	0.012427																																													
 329			94.180758																											-0.000589	0.028384																																													
 330			94.146361																											-0.000642	0.016203																																													
 331			94.116032																											-0.000317	0.011816																																													
 332			94.086182																											-0.000361	0.011388																																													
 333			94.056651																											-0.000795	0.011509																																													
 334			94.027604																											-0.001110	0.011345																																													
 335			93.998796																											-0.001155	0.011157																																													
 336			93.970852																											-0.000929	0.010073																																													
 337			94.270432																											-0.318521	0.000147																																													
 338			94.586183																											-0.334686	0.000082																																													
 339			94.908450																											-0.341236	0.000052																																													
 340			95.206981																											-0.317693	0.000180																																													
 341			95.407652																											-0.220251	0.000539																																													
 342			95.387069																											-0.000001	0.001503																																													
 343			95.015209																											-0.000001	0.352783																																													
 344			94.356053																											-0.000001	0.640154																																													
 345			94.069943																											-0.000001	0.267240																																													
 346			94.047414																											-0.000001	0.003716																																													
 347			94.023864																											-0.000001	0.004741																																													
 348			94.000703																											-0.000001	0.004357																																													
 349			93.977663																											-0.000001	0.004240																																													
 350			93.856746																											-0.000001	0.102122																																													
 351			93.549430																											-0.000001	0.288546																																													
 352			93.019237																											-0.000001	0.511484																																													
 353			92.289245																											-0.000001	0.711388																																													
 354			91.543969																											-0.000001	0.726819																																													
 355			90.764050																											-0.000001	0.761610																																													
 356			90.273198																											-0.000001	0.472700																																													
 357			90.129914																											-0.000000	0.125230																																													
 358			90.109256																											-0.000002	0.002634																																													
 359			90.218816																											-0.128115	0.000532																																													
 360			90.461095																											-0.260498	0.000175																																													
 361			91.130461																											-0.687606	0.000148																																													
 362			91.821870																											-0.709718	0.000083																																													
 363			92.523243																											-0.719791	0.000053																																													
 364			93.205753																											-0.701196	0.000181																																													
 365			93.798686																											-0.612115	0.000540																																													
 366			94.083456																											-0.305029	0.001500																																													
 367			93.947179																											-0.000002	0.117462																																													
 368			93.823206																											-0.000003	0.105187																																													
 369			94.027256																											-0.226446	0.003632																																													
 370			94.353485																											-0.348601	0.003567																																													
 371			94.636280																											-0.305536	0.003869																																													
 372			94.806668																											-0.193551	0.004237																																													
 373			94.938989																											-0.155497	0.004215																																													
 374			95.041009																											-0.125007	0.003999																																													
