{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;Hydro_dam
177;8.94E-05;0.000114155;1.68E-04;0.000114155;0.54484;0.808;0;0.859361056;0.29969093;0.739344087
178;9.21E-05;0.000114155;1.65E-04;0.000114155;0.58173;0.895;0;0.859361056;0.217858538;0.739344087
179;9.39E-05;0.000114155;1.79E-04;0.000114155;0.8826;0.898;0;0.859361056;0.919162315;0.739344087
180;9.45E-05;0.000114155;1.96E-04;0.000114155;0.8941;0.891;0;0.859361056;0.93851469;0.739344087
181;9.25E-05;0.000114155;1.95E-04;0.000114155;0.48932;0.888;0;0.859361056;0.051715869;0.739344087
182;9.30E-05;0.000114155;1.85E-04;0.000114155;0.76401;0.871;0;0.859361056;0.772860492;0.739344087
183;9.40E-05;0.000114155;1.99E-04;0.000114155;0.62241;0.843;0;0.859361056;0.603618246;0.739344087
184;9.46E-05;0.000114155;2.16E-04;0.000114155;0.26692;0.809;0;0.859361056;0.018188923;0.739344087
185;9.63E-05;0.000114155;2.24E-04;0.000114155;0.17045;0.758;0;0.859361056;0.009662865;0.739344087
186;1.02E-04;0.000114155;1.98E-04;0.000114155;0.06977;0.649;0;0.859361056;0;0.739344087
187;0.000122163;0.000114155;1.37E-04;0.000114155;0.00083;0.488;0;0.859361056;0;0.739344087
188;0.000123016;0.000114155;9.07E-05;0.000114155;0;0.448;0;0.859361056;0;0.739344087
189;0.000120296;0.000114155;6.33E-05;0.000114155;0;0.467;0;0.859361056;0;0.739344087
190;0.00011331;0.000114155;4.11E-05;0.000114155;0;0.505;0;0.859361056;0;0.739344087
191;1.02E-04;0.000114155;2.46E-05;0.000114155;0;0.548;0;0.859361056;0;0.739344087
192;9.34E-05;0.000114155;8.08E-06;0.000114155;0;0.594;0;0.859361056;0;0.739344087
193;1.05E-04;0.000114155;6.77E-06;0.000114155;0;0.615;0;0.859361056;0;0.739344087
194;9.95E-05;0.000114155;3.75E-06;0.000114155;0;0.633;0;0.859361056;0;0.739344087
195;9.77E-05;0.000114155;2.38E-06;0.000114155;0;0.649;0;0.859361056;0;0.739344087
196;9.61E-05;0.000114155;8.30E-06;0.000114155;0;0.674;0;0.859361056;0;0.739344087
197;9.66E-05;0.000114155;2.49E-05;0.000114155;0;0.676;0;0.859361056;0;0.739344087
198;1.02E-04;0.000114155;6.93E-05;0.000114155;0;0.606;0;0.859361056;0;0.739344087
199;1.04E-04;0.000114155;1.43E-04;0.000114155;0.19737;0.795;0;0.859361056;0.151373051;0.739344087
200;0.000113323;0.000114155;1.90E-04;0.000114155;0.32566;0.92;0;0.859361056;0.154614729;0.739344087
201;0.000123844;0.000114155;1.68E-04;0.000114155;5.23E-01;0.953;0;0.859361056;0.275542648;0.739344087
202;0.00012987;0.000114155;1.65E-04;0.000114155;0.81717;0.966;0;0.859361056;0.826912146;0.739344087
203;0.000133886;0.000114155;1.79E-04;0.000114155;0.88982;0.967;0;0.859361056;0.915307826;0.739344087
204;0.000133982;0.000114155;1.96E-04;0.000114155;0.80109;0.97;0;0.859361056;0.309300508;0.739344087
205;0.000132778;0.000114155;1.95E-04;0.000114155;0.70698;0.963;0;0.859361056;0.216881594;0.739344087
206;0.00013822;0.000114155;1.85E-04;0.000114155;0.721;0.953;0;0.859361056;0.211526164;0.739344087
207;0.000141149;0.000114155;1.99E-04;0.000114155;0.52921;0.933;0;0.859361056;0.19705851;0.739344087
208;0.000140079;0.000114155;2.16E-04;0.000114155;0.40174;0.898;0;0.859361056;0.266803439;0.739344087
209;0.000136045;0.000114155;2.24E-04;0.000114155;0.15603;0.83;0;0.859361056;0.178318946;0.739344087
210;0.000131438;0.000114155;1.98E-04;0.000114155;0.03285;0.785;0;0.859361056;0;0.739344087
211;0.000150839;0.000114155;1.37E-04;0.000114155;0.00548;0.741;0;0.859361056;0;0.739344087
212;0.000150166;0.000114155;9.07E-05;0.000114155;0;0.611;0;0.859361056;0;0.739344087
213;0.000146909;0.000114155;6.33E-05;0.000114155;0;0.507;0;0.859361056;0;0.739344087
214;0.000139518;0.000114155;4.11E-05;0.000114155;0;0.504;0;0.859361056;0;0.739344087
215;0.000127039;0.000114155;2.46E-05;0.000114155;0;0.527;0;0.859361056;0;0.739344087
216;0.000116453;0.000114155;8.08E-06;0.000114155;0;0.551;0;0.859361056;0;0.739344087
217;0.000113878;0.000114155;6.77E-06;0.000114155;0;0.571;0;0.859361056;0;0.739344087
218;1.09E-04;0.000114155;3.75E-06;0.000114155;0;0.582;0;0.859257663;0;0.739115879
219;1.06E-04;0.000114155;2.38E-06;0.000114155;0;0.583;0;0.859154271;0;0.738887672
220;1.04E-04;0.000114155;8.30E-06;0.000114155;0;0.581;0;0.859050879;0;0.738659464
221;1.05E-04;0.000114155;2.49E-05;0.000114155;0;0.577;0;0.858947486;0;0.738431256
222;1.04E-04;0.000114155;6.93E-05;0.000114155;0;0.491;0;0.858844094;0;0.738203049
223;0.000110064;0.000114155;1.43E-04;0.000114155;0.04336;0.731;0;0.858740702;0;0.737974841
224;0.000120252;0.000114155;1.90E-04;0.000114155;0.43742;0.865;0;0.858637309;0.324487548;0.737746634
225;0.00013123;0.000114155;1.68E-04;0.000114155;5.49E-01;0.9;0;0.858533917;0.302657288;0.737518426
226;0.000136569;0.000114155;1.65E-04;0.000114155;0.56433;0.901;0;0.858430524;0.226198089;0.737290219
227;0.000139598;0.000114155;1.79E-04;0.000114155;0.66857;0.894;0;0.858327132;0.254982415;0.737062011
228;0.00014097;0.000114155;1.96E-04;0.000114155;0.81138;0.889;0;0.85822374;0.232601513;0.736833804
229;0.000140044;0.000114155;1.95E-04;0.000114155;0.43268;0.892;0;0.858120347;0.032887492;0.736605596
230;0.000146092;0.000114155;1.85E-04;0.000114155;0.40917;0.892;0;0.858016955;0.03056947;0.736377389
231;0.000148794;0.000114155;1.99E-04;0.000114155;0.60038;0.884;0;0.857913563;0.207671676;0.736149181
232;0.000145833;0.000114155;2.16E-04;0.000114155;0.42307;0.868;0;0.85781017;0.21075349;0.735920974
233;0.000141158;0.000114155;2.24E-04;0.000114155;0.11429;0.809;0;0.857706778;0.00203382;0.735692766
234;0.000135673;0.000114155;1.98E-04;0.000114155;0.05307;0.709;0;0.857603385;0;0.735464559
235;0.000153851;0.000114155;1.37E-04;0.000114155;0.00007;0.611;0;0.857499993;0;0.735236351
236;0.000153068;0.000114155;9.07E-05;0.000114155;0;0.545;0;0.857396601;0;0.735008144
237;0.000149929;0.000114155;6.33E-05;0.000114155;0;0.489;0;0.857293208;0;0.734779936
238;0.000142593;0.000114155;4.11E-05;0.000114155;0;0.428;0;0.857189816;0;0.734551729
239;0.000132069;0.000114155;2.46E-05;0.000114155;0;0.402;0;0.857086424;0;0.734323521
240;0.000123911;0.000114155;8.08E-06;0.000114155;0;0.392;0;0.856983031;0;0.734095313
241;0.000109895;0.000114155;6.77E-06;0.000114155;0;0.394;0;0.856879639;0;0.733867106
242;1.05E-04;0.000114155;3.75E-06;0.000114155;0;0.389;0;0.856776247;0;0.733638898
243;1.02E-04;0.000114155;2.38E-06;0.000114155;0;0.387;0;0.856672854;0;0.733410691
244;9.98E-05;0.000114155;8.30E-06;0.000114155;0;0.389;0;0.856569462;0;0.733182483
245;9.99E-05;0.000114155;2.49E-05;0.000114155;0;0.379;0;0.856466069;0;0.732954276
246;9.57E-05;0.000114155;6.93E-05;0.000114155;0;0.347;0;0.856362677;0;0.732726068
247;1.03E-04;0.000114155;1.43E-04;0.000114155;0.00012;0.62;0;0.856259285;0;0.732497861
248;1.13E-04;0.000114155;1.90E-04;0.000114155;0.51349;0.753;0;0.856155892;0.470913709;0.732269653
249;0.000124802;0.000114155;1.68E-04;0.000114155;6.96E-01;0.738;0;0.8560525;0.675787772;0.732041446
250;0.000128968;0.000114155;1.65E-04;0.000114155;0.24905;0.699;0;0.855949108;0.017798146;0.731813238
251;0.000134504;0.000114155;1.79E-04;0.000114155;0.24691;0.656;0;0.855845715;0.019485595;0.731585031
252;0.000135507;0.000114155;1.96E-04;0.000114155;0.4285;0.615;0;0.855742323;0.034130875;0.731356823
253;0.00013408;0.000114155;1.95E-04;0.000114155;0.62598;0.573;0;0.85563893;0.165396639;0.731128616
254;0.000136548;0.000114155;1.85E-04;0.000114155;0.67557;0.539;0;0.855535538;0.172137554;0.730900408
255;0.000137055;0.000114155;1.99E-04;0.000114155;0.4904;0.505;0;0.855432146;0.126825109;0.730672201
